ciência da computação;1 período;LM31A - Lógica Matemática (IC1A_CM)
ciência da computação;1 período;IC31A - INTRODUÇÃO A CIENCIA DA COMPUTAÇÃO (IC1A_CM)
ciência da computação;1 período;GA3X1 - GEOMETRIA ANALÍTICA E ÁLGEBRA LINEAR (IC1A_CM)
ciência da computação;1 período;EP3XA - Ética, Profissão e Cidadania (IC1A_CM)
ciência da computação;1 período;CV31A - COMUNICAÇÃO LINGUISTICA (IC1A_CM)
ciência da computação;1 período;CD3X1 - CALCULO DIFERENCIAL E INTEGRAL 1 (IC1A_CM)
ciência da computação;1 período;BCC31A - ALGORITMOS (IC1B_CM)
ciência da computação;1 período;BCC31A - ALGORITMOS (IC1A_CM)
ciência da computação;2 período;AT31A - Atividades Complementares (IC2A_CM)
ciência da computação;2 período;PB3XA - PROBABILIDADE E ESTATÍSTICA (IC2A_CM)
ciência da computação;2 período;BCC32C - FUNDAMENTOS DE ADMINISTRACAO (IC2A_CM)
ciência da computação;2 período;FS3X3 - FISICA 3 (IC2B_CM)
ciência da computação;2 período;FS3X3 - FISICA 3 (IC2A_CM)
ciência da computação;2 período;BCC32B - Elementos de Lógica Digital
ciência da computação;2 período;BCC32A - ALGORITMOS E ESTRUTURAS DE DADOS 1 (IC2A_CM)
ciência da computação;3 período;BCC33A - Algoritmos E Estruturas De Dados 2 (IC3A_CM)
ciência da computação;3 período;BCC33D - ANALISE E PROJETO ORIENTADO A OBJETOS (IC3B_CM)
ciência da computação;3 período;BCC33A - Algoritmos E Estruturas De Dados 2 (IC3B_CM)
ciência da computação;3 período;BCC33C - INTERACAO HOMEM-COMPUTADOR (IC3A_CM)
ciência da computação;3 período;CN3XA - CALCULO NUMERICO (IC3A_CM)
ciência da computação;3 período;BCC33E - BANCO DE DADOS 1 (IC3B_CM)
ciência da computação;3 período;BCC33E - BANCO DE DADOS 1 (IC3A_CM)
ciência da computação;3 período;BCC33B - ARQUITETURA E ORGANIZACAO DE COMPUTADORES (IC3B_CM)
ciência da computação;3 período;BCC33B - ARQUITETURA E ORGANIZACAO DE COMPUTADORES (IC3A_CM)
ciência da computação;3 período;BCC33D - ANALISE E PROJETO ORIENTADO A OBJETOS (IC3A_CM)
ciência da computação;3 período;BCC33A - ALGORITMOS E ESTRUTURAS DE DADOS 2
ciência da computação;4 período;BCC34A - Analise De Algoritmos (IC4A_CM)
ciência da computação;4 período;BCC34A - Analise De Algoritmos (IC4A)
ciência da computação;4 período;BCC34C - SISTEMAS MICROCONTROLADOS (IC4B_CM)
ciência da computação;4 período;BCC34G - SISTEMAS OPERACIONAIS (IC4A_CM)
ciência da computação;4 período;BCC34C - SISTEMAS MICROCONTROLADOS (IC4A_CM)
ciência da computação;4 período;BCC34D - REDES DE COMPUTADORES 1 (IC4A_CM)
ciência da computação;4 período;BCC34F - PROGRAMACAO DE APLICATIVOS (IC4A_CM)
ciência da computação;4 período;BCC34B - LINGUAGENS FORMAIS, AUTOMATOS E COMPUTABILIDADE (IC4A_CM)
ciência da computação;4 período;BCC34E - BANCO DE DADOS 2 (IC4A_CM)
ciência da computação;5 período;BCC35B - TEORIA DOS GRAFOS (IC5A_CM)
ciência da computação;5 período;BCC35D - REDES DE COMPUTADORES 2 (IC5A_CM)
ciência da computação;5 período;BCC35C - PROJETO INTEGRADOR (IC5A_CM)
ciência da computação;5 período;BCC35A - Linguagens de Programação (IC5A_CM)
ciência da computação;5 período;BCC35G - INTELIGENCIA ARTIFICIAL (IC5A_CM)
